,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
United States,..,,..,,..,,..,,40.8,,..,,..,,..,,..,,..,,..,,..,,40.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.771,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.905,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.587,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.863,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,3.7,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.5,f,32.4,,23.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.0,,6.6,,6.0,
Uruguay,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.4,,..,,..,,42.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.654,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.681,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.505,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.815,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.8,,10.8,,10.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.3,f,27.8,,26.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.1,,9.3,,10.1,
Uzbekistan,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.544,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.701,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.399,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.577,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.4,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.9,h,17.9,,17.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.9,,24.3,,25.9,
Vanuatu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.679,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.7,,15.6,,17.7,
Venezuela (Bolivarian Republic of),..,,..,,..,,46.8,,..,,..,,43.5,,..,,..,,..,,..,,..,,43.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.540,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.567,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.368,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.753,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.0,,18.1,,17.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.0,f,44.9,,32.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.3,,12.2,,13.3,
Viet Nam,..,,..,,..,,..,,..,,..,,..,,..,,37.6,,..,,..,,..,,37.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.510,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.417,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.423,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.754,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.1,,17.1,,17.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.2,e,11.4,,18.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.8,,13.4,,13.8,
Yemen,..,,..,,..,,..,,..,,37.7,,..,,..,,..,,..,,..,,..,,37.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.312,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.155,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.365,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.537,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.8,,49.8,,49.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.6,e,17.6,,17.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.2,,25.1,,31.2,
Zambia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.303,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.366,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.287,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.266,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.2,,23.8,,24.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.8,e,20.8,,20.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.5,,41.9,,46.5,
Zimbabwe,..,,..,,..,,50.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.268,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.452,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.124,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.343,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.1,,20.1,,20.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.5,h,34.5,,34.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.2,,30.6,,34.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a. Data refer to the most recent year available during the period specified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b. Inequality adjustment is based on data from household surveys, including data from Luxembourg Income Study, Eurostat's European Union Survey of Income and Living Conditions, the World Bank's International Income Distribution Database, the United Nations Children's Fund's (UNICEF) Multiple Indicator Cluster Survey, the U.S. Agency for International Development's Demographic and Health Survey, and the World Health Organization's (WHO) World Health Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c. Inequality adjustment is based on data from household surveys, including the Luxembourg Income Study, Eurostat's European Union Survey of Income and Living Conditions, the World Bank's International Income Distribution Database, UNICEF's Multiple Indicators Cluster Survey, USAID's Demographic and Health Survey, and the United Nations University World Institute for Development Economics Research's (UNU-WIDER) World Income Inequality Database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d. Inequality adjustment is based on  life tables produced by the United Nations Department of Social and Economic Affairs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e. Inequality is estimated from imputed income using the assets index matching methodology (Harttgen and Klasen, 2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f. Inequality is estimated from household disposable income per capita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g. Inequality is estimated from household consumption per capita.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h. Inequality is estimated from income deciles available from UNU-WIDER.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columns 1-13: World Bank (2011a).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns 14-26: Calculated as the geometric mean of the values in Columns 5, 7 and 9 using the methodology in Technical note 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columns 27-39: Calculated based on data in column 10 and the unadjusted education index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90 and 91: Calculated based on data in column 9 and the unadjusted income index.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columns 53-65: Calculated based on data in column 6 and the unadjusted life expectancy index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columns 66-78: Calculated based on data in column 7 and the unadjusted education index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columns 92-104: Calculated based on data in column 5 and the unadjusted life expectancy index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
