,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,..,,..,,2.4,,2.7,,3.1,,3.3,,1.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-29.8,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.0,,..,,..,,..,,"2,322",,"2,116",,"1,902",,"1,859",,"1,816",,"1,773",,..,,..,,..,,..,,..,,3.0,,2.7,,2.5,,2.4,,2.4,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,81.5,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,..,,..,,24.4,,22.3,,21.4,,21.3,,9.6,,10.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39,,40,,40,,40,,40,,40,,..,,..,,..,,..,,..,,84.6,,86.1,,87.6,,87.6,,87.6,,87.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,..,,..,,4.8,,7.2,,6.8,,7.2,,2.2,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-13.6,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,71.4,,..,,..,,..,,"3,581",,"3,369",,"3,310",,"3,298",,"3,286",,"3,275",,..,,..,,..,,..,,..,,48.2,,45.3,,44.5,,44.4,,44.2,,44.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,..,,..,,1.6,,1.8,,2.8,,2.7,,0.5,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.0,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.0,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.3,,..,,..,,..,,"30,828",,"30,133",,"29,437",,"29,295",,"29,153",,"29,010",,..,,..,,..,,..,,..,,68.1,,66.5,,65.0,,64.7,,64.4,,64.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,..,,..,,3.0,,2.5,,2.4,,2.4,,0.7,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-15.2,,..,,..,,..,,..,,..,,..,,..,,..,,3.4,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.5,,..,,..,,..,,"20,263",,"19,368",,"18,475",,"18,296",,"18,118",,"17,939",,..,,..,,..,,..,,..,,51.0,,48.7,,46.5,,46.1,,45.6,,45.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,..,,..,,3.7,,4.4,,5.0,,5.1,,1.6,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.4,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.7,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.3,,..,,..,,..,,"69,685",,"69,213",,"68,742",,"68,592",,"68,442",,"68,292",,..,,..,,..,,..,,..,,54.4,,54.1,,53.7,,53.6,,53.5,,53.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,..,,..,,3.4,,3.8,,3.3,,2.9,,0.8,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.7,,..,,..,,..,,"6,844",,"7,117",,"7,391",,"7,446",,"7,501",,"7,555",,..,,..,,..,,..,,..,,23.0,,23.9,,24.8,,25.0,,25.2,,25.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.5,,..,,..,,..,,17.0,,..,,..,,0.0,,0.0,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,..,,..,,32.9,,28.7,,29.1,,30.6,,8.3,,8.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.3,,-0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.5,,..,,..,,..,,..,,..,,..,,..,,..,,3.9,,4.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.1,,..,,..,,..,,"8,970",,"9,059",,"9,200",,"9,227",,"9,255",,"9,282",,..,,..,,..,,..,,..,,29.5,,29.8,,30.0,,30.3,,30.4,,30.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.6,,..,,..,,..,,19.4,,..,,..,,0.0,,0.0,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,..,,..,,19.2,,22.7,,22.8,,20.8,,5.5,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.1,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.0,,..,,..,,..,,"3,374",,"3,420",,"3,437",,"3,441",,"3,445",,"3,448",,..,,..,,..,,..,,..,,36.9,,37.4,,37.6,,37.6,,37.7,,37.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,..,,..,,215.0,,206.5,,215.1,,206.2,,51.4,,53.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,9.7,,10.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.9,,..,,..,,..,,0,,0,,0,,0,,0,,0,,..,,..,,..,,..,,..,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,455.2,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,18.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,..,,..,,20.8,,14.5,,15.6,,16.8,,4.4,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.0,,..,,..,,..,,"6,369",,"6,366",,"6,391",,"6,427",,"6,464",,"6,500",,..,,..,,..,,..,,..,,27.8,,27.7,,27.8,,27.9,,28.1,,28.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,..,,..,,..,,3.2,,..,,..,,0.0,,0.0,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,..,,..,,38.3,,35.9,,38.6,,40.1,,10.8,,12.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,61.2,,..,,..,,..,,"809,109",,"809,269",,"808,790",,"808,850",,"808,910",,"808,970",,..,,..,,..,,..,,..,,49.4,,49.4,,49.4,,49.4,,49.4,,49.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,..,,..,,0.4,,0.3,,0.3,,0.3,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,4.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.6,,..,,..,,..,,331,,344,,385,,395,,405,,415,,..,,..,,..,,..,,..,,13.4,,13.9,,15.6,,16.0,,16.4,,16.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,..,,..,,8.1,,8.2,,10.1,,10.0,,5.5,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,11,,11,,11,,11,,11,,..,,..,,..,,..,,..,,42.3,,42.3,,42.3,,42.3,,42.3,,42.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,..,,..,,7.8,,7.9,,8.5,,8.6,,2.2,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.5,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,45,,47,,47,,47,,47,,47,,..,,..,,..,,..,,..,,74.2,,76.6,,77.0,,77.0,,77.0,,77.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,..,,..,,4.3,,5.0,,6.0,,6.1,,2.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.5,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26,,26,,26,,26,,26,,27,,..,,..,,..,,..,,..,,65.8,,66.7,,67.4,,67.6,,67.8,,68.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,..,,..,,2.9,,2.9,,3.1,,3.1,,0.8,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.7,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,151,,171,,171,,171,,171,,171,,..,,..,,..,,..,,..,,53.2,,60.4,,60.4,,60.4,,60.4,,60.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,0,,0,,0,,0,,0,,..,,..,,..,,..,,..,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,..,,..,,2.2,,2.3,,2.5,,2.4,,0.8,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.2,,3.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,57.3,,..,,..,,..,,27,,27,,27,,27,,27,,27,,..,,..,,..,,..,,..,,28.1,,28.1,,28.1,,28.1,,28.1,,28.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,..,,..,,47.2,,52.5,,57.0,,57.9,,16.9,,17.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,3.5,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,55.3,,..,,..,,..,,977,,977,,977,,977,,977,,977,,..,,..,,..,,..,,..,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,943.3,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,..,,..,,1.4,,1.4,,1.7,,1.3,,0.5,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.5,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.3,,..,,..,,..,,"9,123",,"8,898",,"8,673",,"8,633",,"8,593",,"8,553",,..,,..,,..,,..,,..,,47.4,,46.2,,45.0,,44.8,,44.6,,44.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,..,,..,,..,,..,,..,,..,,..,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"2,523",,"2,571",,"2,618",,..,,..,,..,,..,,..,,..,,..,,..,,28.6,,29.1,,29.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,..,,..,,9.2,,25.5,,29.9,,31.7,,7.3,,8.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.1,,7.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41,,41,,41,,41,,41,,41,,..,,..,,..,,..,,..,,88.5,,88.5,,88.5,,88.5,,88.5,,88.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,..,,..,,0.5,,0.5,,0.7,,0.6,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.6,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.3,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.1,,..,,..,,..,,"3,020",,"2,922",,"2,824",,"2,804",,"2,785",,"2,765",,..,,..,,..,,..,,..,,42.2,,40.8,,39.4,,39.2,,38.9,,38.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,..,,..,,49.7,,47.8,,50.5,,47.0,,11.8,,7.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,4.5,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.6,,..,,..,,..,,2,,2,,2,,2,,2,,2,,..,,..,,..,,..,,..,,3.4,,3.4,,3.3,,3.3,,3.3,,3.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,..,,..,,29.4,,24.1,,25.7,,25.5,,6.9,,7.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,74.5,,..,,..,,..,,"1,922",,"1,921",,"1,932",,"1,932",,"1,932",,"1,933",,..,,..,,..,,..,,..,,39.9,,39.9,,40.2,,40.2,,40.2,,40.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,..,,..,,26.2,,26.7,,27.4,,27.8,,7.5,,8.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.9,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.0,,..,,..,,..,,"1,211",,"1,233",,"1,243",,"1,245",,"1,247",,"1,249",,..,,..,,..,,..,,..,,60.1,,61.2,,61.7,,61.8,,61.9,,62.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,..,,..,,0.0,,0.0,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,..,,..,,1.6,,1.5,,1.4,,1.4,,0.4,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-4.3,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.1,,..,,..,,..,,"2,296",,"2,268",,"2,241",,"2,235",,"2,230",,"2,224",,..,,..,,..,,..,,..,,82.0,,81.0,,80.1,,79.9,,79.7,,79.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,..,,..,,0.0,,0.3,,0.1,,0.1,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-16.7,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"7,899",,"7,515",,"7,131",,"7,054",,"6,977",,"6,901",,..,,..,,..,,..,,..,,12.6,,12.0,,11.4,,11.2,,11.1,,11.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
